"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q37","Q43","Q44","Q45","Q70","Q22","Q24_1","Q24_2","Q24_3","Q24_4","hungry","Q40","Q41_1","Q41_2","Q41_3","Q41_4","full","Q25","Q27","Q29","Q33","Q37.0","Q40.0","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","DO_BR_FL_47","DO_BL_nameperson","DO_BL_feelings","LocationLatitude","LocationLongitude","LocationAccuracy","condition","similarity"
"R_3OjKI32ktTFclaN","Default Response Set","Anonymous","","","74.213.35.174","0",2017-05-08 12:36:00,2017-05-08 12:37:41,1,"86048046",1,1,1,NA,"James",NA,NA,NA,NA,NA,"",1,0.58,2.978,67.012,2,"It feels satisfying.  My hunger is gone.  I feel energized.  I am ready to take on the day.",1,7,6,7,8,6,1,1,24,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q29|Q33|Q27|Q37","30.441604614258","-97.598602294922","-1",1,1
"R_3JJYW4pFG16mwDw","Default Response Set","Anonymous","","","71.83.244.72","0",2017-05-08 12:35:57,2017-05-08 12:38:06,1,"86547859",1,1,NA,1,"Jason",NA,NA,NA,NA,NA,"",1,2.046,2.046,71.59,1,"I would feel sluggish, and unpleasant. I would prefer to be alone, and if I was with people, I'd want to be alone as soon as possible. I would feel pretty guilty about having eaten that much food.",1,4,5,7,1,2,1,2,42,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q27|Q37|Q29","43.373992919922","-124.14770507812","-1",1,2
"R_1NjZ4hbdnkAP4mE","Default Response Set","Anonymous","","","68.229.217.36","0",2017-05-08 12:35:55,2017-05-08 12:38:10,1,"81650098",1,1,NA,1,"Jamie",NA,NA,NA,NA,NA,"",1,1.22,1.22,77.146,1,"I would think how uncomfortable my body feels being that full. I would feel like I could burst from the seams. I would probably be less active and more likely to sit around and do nothing.",1,4,3,6,2,5,1,2,27,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q27|Q33|Q37","35.533096313477","-97.770698547363","-1",1,2
"R_3Nya3DqOwxm5RkE","Default Response Set","Anonymous","","","67.140.170.74","0",2017-05-08 12:35:49,2017-05-08 12:38:10,1,"83914201",1,1,NA,1,"Jo",1,1.087,1.087,63.67,1,"I would be irritated. I would probably be shaking and it would be hard for me to concentrate on anything other than how hungry I am. If it got too bad I may even get angry.",NA,NA,NA,NA,NA,"",1,5,5,5,5,1,1,2,26,1,NA,NA,1,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q27|Q37|Q33","37.132797241211","-84.096397399902","-1",2,2
"R_25XEigaZOPmmP7u","Default Response Set","Anonymous","","","129.252.70.108","0",2017-05-08 12:35:56,2017-05-08 12:38:13,1,"80655680",1,1,NA,1,"roberta",1,2.361,2.361,72.439,1,"When I'm very hungry, I begin to feel a little woozy, and I lose energy.  I don't often get that hungry however.  I try to maintain a regular schedule.  Hunger can lead me to headache and other symptoms.",NA,NA,NA,NA,NA,"",1,5,3,5,7,3,1,1,45,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q33|Q27|Q29","33.993698120117","-81.019897460938","-1",2,2
"R_28BUSU6p6Lg1Fs5","Default Response Set","Anonymous","","","170.154.57.177","0",2017-05-08 12:35:51,2017-05-08 12:38:21,1,"88192654",1,1,1,NA,"craig",NA,NA,NA,NA,NA,"",1,1.214,1.214,64.981,1,"I would be thinking about resting and sitting down. I would feel kind of uncomfortable and not want to move very much. i would act very lazily and not want to move much. i would be happy that i was full, but would need some time to relax after eating so mch",1,3,5,7,6,7,1,1,31,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q37|Q33|Q27|Q29","42.085800170898","-70.999900817871","-1",1,1
"R_8p1mlWCb3h8HG5H","Default Response Set","Anonymous","","","24.219.192.102","0",2017-05-08 12:36:38,2017-05-08 12:38:30,1,"83176486",1,1,1,NA,"don",1,0.603,32.738,84.346,2,"I would need to eat food.  My stomach would be grumbling and I would be uncomfortable.  I would be thinking of food.  I would try and act calm as possible.",NA,NA,NA,NA,NA,"",1,6,6,5,5,6,1,1,22,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q37|Q33|Q27","37.266906738281","-80.432502746582","-1",2,1
"R_1IxQjpMAh5D886B","Default Response Set","Anonymous","","","50.177.1.237","0",2017-05-08 12:35:48,2017-05-08 12:38:39,1,"86044012",1,1,1,NA,"Jorge",NA,NA,NA,NA,NA,"",1,1.295,10.447,80.106,4,"I would feel bloated. I would regret eating so much food. There would be pain and it's likely I would be generating a lot of gas. Sluggish.",1,3,3,6,6,6,1,1,32,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q37|Q29|Q33","42.393096923828","-71.134498596191","-1",1,1
"R_51s9ftx7ryddNFT","Default Response Set","Anonymous","","","24.123.94.218","0",2017-05-08 12:36:31,2017-05-08 12:38:40,1,"82409855",1,1,NA,1,"TODD",NA,NA,NA,NA,NA,"",1,8.017,8.017,72.283,1,"I would feel bloated and sit down on the couch. I would be uncomfortable and try not to move. I would be upset with myself for eating that much and making myself feel that way.",1,5,8,5,4,1,1,1,35,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q37|Q29|Q27","44.258605957031","-88.506500244141","-1",1,2
"R_3EB9XNh72kTrsXX","Default Response Set","Anonymous","","","107.13.131.218","0",2017-05-08 12:36:07,2017-05-08 12:38:42,1,"80131578",1,1,NA,1,"jim",NA,NA,NA,NA,NA,"",1,7.154,7.154,72.634,1,"I would be thinking about all of the food that I ate and how much weight I am going to gain from eating all of the food. I would feel very uncomfortable or maybe even sick from being very full. I would probably want to just go to sleep or sit down and do othing because I feel so uncomfortable.",1,5,5,5,5,1,1,2,30,1,1,NA,NA,NA,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q37|Q27|Q29","35.946594238281","-78.797698974609","-1",1,2
