"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q42","Q43","Q13","Q86","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q49","Q71","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42.0","Q44","Q46","Q48","Q50","Q2","Q3","Q4","Q79","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","Q38.0","Q35","LocationLatitude","LocationLongitude","LocationAccuracy","A4_rev","A6_rev","A10_rev","warm_pref","condition","single_pix"
"R_0fkwOl135zzWtNP","Default Response Set","Anonymous","","","128.135.213.43","0",2015-01-26 12:39:03,2015-01-26 12:43:57,1,1,"28",1,1,0,0,30.005,0,NA,1,NA,NA,7,"I imagine it would be fairly relaxing. I imagine there would not be any wind so it would be a medium type cold, but not too cold. The ground would probably not be too slippery.",1,3,7,7,3,5,2,2,6,3,2,1,5,5,6,6,8,1,1,20,74,2,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,8,8,7.2,2,3
"R_02IvLUn7hqHail7","Default Response Set","Anonymous","","","128.135.213.45","0",2015-01-26 12:39:39,2015-01-26 12:44:16,1,2,"28",1,1,0,0,30.043,0,NA,NA,NA,1,6,"There is a tremendous chill in the air.
The ice and water looked amazingly blue.
The ice blocks were really big",1,6,2,7,3,7,2,6,7,6,1,1,3,4,5,4,3,1,1,32,55,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,8,9,7.6,2,4
"R_a8IPbC0LMlFpzNP","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-26 13:45:36,2015-01-26 13:49:49,1,3,"30",1,1,3.121,25.552,30.023,2,1,NA,NA,NA,6,"I imagined that the environment was very harsh and desolate. I thought that life would be extremely unpleasant and I would always be hungry and thirsty in this desert.",1,7,6,6,4,4,6,4,2,NA,6,1,5,3,3,7,3,1,2,19,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,4,4,4.4,1,1
"R_9B7CewvgEgSJcxv","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-26 14:28:57,2015-01-26 14:35:34,1,4,"29",1,1,9.74,9.74,30.035,1,NA,NA,1,NA,7,"very hot and exciting. possibly fearful of the immense heat",1,2,NA,5,1,3,1,9,9,5,1,1,7,8,1,7,7,1,2,18,75,1,NA,NA,NA,NA,1,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,9,9,8.2,1,2
"R_9HMKSl5sX6WIS0J","Default Response Set","Anonymous","","","128.135.213.72","0",2015-01-26 14:32:21,2015-01-26 14:37:33,1,5,"29",1,1,0,0,30.009,0,NA,1,NA,NA,6,"The environment would be cold. I would be worried about the possibility of slipping on ice that may have formed on the small bridge in the photo. I have my hands in my pocket, as the snow on the railing would not allow me to run my hand along it. I would lso be quiet, but not worrying.",1,8,7,3,3,8,2,8,3,3,7,1,5,6,3,5,6,1,1,19,65,1,NA,NA,1,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,8,3,4.8,2,3
"R_39OpNueugs7viFn","Default Response Set","Anonymous","","","128.135.213.34","0",2015-01-26 14:54:04,2015-01-26 14:59:26,1,7,"29",1,1,0,0,30.004,0,1,NA,NA,NA,4,"If I were to find myself in this environment I feel as if I would be thirsty and hot despite the time of day.  There would be no other animals or humans around me, I would be alone.",1,5,5,9,1,3,6,9,1,2,1,1,7,6,1,6,4,1,2,19,NA,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,4,9,6.4,1,1
"R_6YiPWKC4zG9i9eZ","Default Response Set","Anonymous","","","128.135.213.55","0",2015-01-26 15:25:21,2015-01-26 15:29:19,1,8,"29",1,1,0,0,30.037,0,NA,1,NA,NA,8,"It would be brisk, but not too cold. The bridge would be slippery, and the sound of birds chirping would be a peaceful background noise.",1,2,3,5,3,9,1,9,3,1,1,1,4,7,4,5,5,1,2,19,68,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,9,9,6.6,2,3
"R_56Js2QoyJaMSSl7","Default Response Set","Anonymous","","","128.135.213.68","0",2015-01-26 15:31:43,2015-01-26 15:36:46,1,9,"29",1,1,0,0,30.008,0,NA,NA,1,NA,4,"extremely hot; would feel desperation that I would not be able to get out of the fiery pit; even though desperation would be involved, calmness would also be a feeling at a certain point, accepting your condition. The scene seemed very desolate and quiet o me because of the darkness surrounding the pit.",1,8,3,2,3,1,4,3,8,3,1,1,6,9,3,8,3,1,2,18,72,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,6,9,6.4,1,2
"R_b2zLHgwGPF9uTpr","Default Response Set","Anonymous","","","128.135.213.58","0",2015-01-26 15:33:35,2015-01-26 15:37:38,1,10,"29",1,1,28.74,29.24,30.038,2,1,NA,NA,NA,8,"Hot deserted space. I felt lonely. It felt dry and like I was thirsty. It also seemed unwelcoming.",1,1,9,1,9,5,9,9,1,1,9,1,9,9,3,3,3,1,2,26,79,1,NA,NA,NA,NA,1,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",1,1,1,1,1,1
"R_elpivMm6DXpMAGp","Default Response Set","Anonymous","","","128.135.213.72","0",2015-01-26 14:52:58,2015-01-26 15:40:28,1,6,"29",1,1,24.704,24.704,30.009,1,NA,NA,NA,1,8,"I imagined a cold, very snowy place. It was somewhat magical in its natural beauty and lovely in its frigidness.",1,9,3,8,1,1,3,9,8,2,1,1,3,7,6,3,8,1,2,19,67,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,7,9,8.2,2,4
