"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q86","Q46","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q71","Q47","Q48","Q243_1","Q243_2","Q243_3","Q243_4","Q244","Q245","Q246","Q247","Q249","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42","Q44","Q46.0","Q48.0","Q50","Q41.0","Q2","Q3","Q4","Q79","Q6","Q50.0","DO_BR_FL_6yTYxOmURd7ewO9","DO_BL_simulation","DO_BL_priming","DO_BL_Choices","LocationLatitude","LocationLongitude","LocationAccuracy","hot_cold","condition","A4rev","A6rev","A10rev","choices"
"R_bQkzpqmn90Taoxj","Default Response Set","Anonymous","","","174.218.139.57","0",2017-08-24 12:15:41,2017-08-24 12:15:41,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","33.741104125977","-84.109298706055","-1",NA,NA,NA,NA,NA,NA
"R_Wool2RaOR5vnW6t","Default Response Set","Anonymous","","","5.62.59.46","0",2017-08-24 12:17:01,2017-08-24 12:17:01,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","41.384994506836","-75.646102905273","-1",NA,NA,NA,NA,NA,NA
"R_28TCMRoJ83vQBPD","Default Response Set","Anonymous","","","108.228.88.172","0",2017-08-24 12:19:16,2017-08-24 12:19:16,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","33.635604858398","-84.260498046875","-1",NA,NA,NA,NA,NA,NA
"R_2urpwqYSBMRfFMV","Default Response Set","Anonymous","","","107.77.228.4","0",2017-08-24 12:22:16,2017-08-24 12:22:16,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","34.054397583008","-118.2440032959","-1",NA,NA,NA,NA,NA,NA
"R_3h3XbQppjpC0iWc","Default Response Set","Anonymous","","","172.113.145.187","0",2017-08-24 12:55:06,2017-08-24 12:55:06,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","33.840805053711","-118.07899475098","-1",NA,NA,NA,NA,NA,NA
"R_2WNjF34naKTHMOv","Default Response Set","Anonymous","","","108.228.88.172","0",2017-08-24 12:55:51,2017-08-24 12:55:51,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","33.635604858398","-84.260498046875","-1",NA,NA,NA,NA,NA,NA
"R_3oz2Es9rHcGQdgJ","Default Response Set","Anonymous","","","64.132.43.68","0",2017-08-24 12:13:10,2017-08-24 12:15:23,1,"904060",1,1,1,0,0,30.684,0,NA,NA,1,NA,"It would be hot and very bad. It would not be a place that I wanted to be.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,7,2,7,7,3,2,8,4,3,1,3,3,7,4,7,7,1,1,29,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|9|2|10|3|5|6|1|8|4|7","36.016204833984","-80.043403625488","-1",2,1,3,7,7,5.4
"R_zd5oQkRqqvM4aI1","Default Response Set","Anonymous","","","146.137.70.71","0",2017-08-24 12:14:31,2017-08-24 12:16:29,1,"971060",1,1,1,15.808,28.532,31.069,2,1,NA,NA,NA,"Dry parched lost and desolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,4,2,8,5,9,4,2,6,6,1,7,6,5,5,6,8,1,1,34,70,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|6|4|2|9|1|7|8|10|5|3","41.740097045898","-87.987998962402","-1",2,1,2,1,4,2.2
"R_1MSAlDmNd7NKRS4","Default Response Set","Anonymous","","","173.218.108.114","0",2017-08-24 12:13:17,2017-08-24 12:17:20,1,"967295",1,1,1,0,0,31.425,0,NA,NA,NA,1,"I imagined the cold wind biting at my face.  I imagined being in awe of the giant glaciers and sad about the fact that they are slowly shrinking away.  I can smell the sea and feel the waves bobbing up and down.  I can hear the chunks of ice splash as the hit the water.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,1,9,1,1,1,9,9,1,1,1,4,7,1,1,9,9,1,2,32,75,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|2|8|4|7|9|1|6|10|3|5","35.88639831543","-90.642501831055","-1",1,1,9,9,9,9
"R_2sX6nU8exQyBbUh","Default Response Set","Anonymous","","","66.194.104.5","0",2017-08-24 12:15:25,2017-08-24 12:17:29,1,"795805",1,1,1,0,0,30.475,0,NA,NA,1,NA,"It would be very hot and steamy. I would be sweating and burning myself badly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,5,6,9,6,5,5,3,1,5,1,7,5,4,4,5,7,1,1,39,75,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|8|2|7|6|10|3|5|9|4","27.817398071289","-82.783897399902","-1",2,1,1,5,5,4
