"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q13","Q86","Q85_1","Q85_2","Q85_3","Q85_4","Hot","Q84_1","Q84_2","Q84_3","Q84_4","hungry","Q83_1","Q83_2","Q83_3","Q83_4","full","Q82_1","Q82_2","Q82_3","Q82_4","cold","Q57","food1","food2","food3","food4","food5","fill1","fill2","fill3","fill4","fill5","Q42","Q44","Q46","Q48","Q50","Q73","thirsty","hungry.0","tired","Q51","Q42.0","Q35","Q41","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q35.0","DO_BR_FL_35","DO_BL_choices_food","LocationLatitude","LocationLongitude","LocationAccuracy","state","condition","pref_warmth","pref_food","filter_$"
"R_3HwwBhCqoHGFFbP","Default Response Set","Anonymous","","","98.203.216.193","0",2015-12-04 12:29:55,2015-12-04 12:30:00,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","47.835403442383","-122.32789611816","-1",NA,NA,NA,NA,NA
"R_2uOjkKMzw9uJH0m","Default Response Set","Anonymous","","","70.58.118.64","0",2015-12-04 12:31:18,2015-12-04 12:31:27,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","33.647506713867","-112.3883972168","-1",NA,NA,NA,NA,NA
"R_A6j6UqPcp7RK8Jb","Default Response Set","Anonymous","","","68.50.160.35","0",2015-12-04 12:35:39,2015-12-04 12:35:47,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","39.083206176758","-84.976898193359","-1",NA,NA,NA,NA,NA
"R_cu1ZGv6xYIZj8gp","Default Response Set","Anonymous","","","104.218.137.138","0",2015-12-04 12:37:58,2015-12-04 12:38:07,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","40.753997802734","-73.980796813965","-1",NA,NA,NA,NA,NA
"R_3Qssc70QyLobjKp","Default Response Set","Anonymous","","","76.3.2.162","0",2015-12-04 12:44:37,2015-12-04 12:44:44,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","30.791397094727","-86.448501586914","-1",NA,NA,NA,NA,NA
"R_diouxjyB0bEefN7","Default Response Set","Anonymous","","","97.32.69.154","0",2015-12-04 12:44:32,2015-12-04 12:44:45,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","38","-97","-1",NA,NA,NA,NA,NA
"R_da0XZg4a8xgvcdj","Default Response Set","Anonymous","","","172.56.1.165","0",2015-12-04 12:48:57,2015-12-04 12:49:04,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","33.815704345703","-84.11009979248","-1",NA,NA,NA,NA,NA
"R_3hzKvpSL83t9mhN","Default Response Set","Anonymous","","","67.83.125.39","0",2015-12-04 13:29:43,2015-12-04 13:29:48,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","41.230499267578","-73.125701904297","-1",NA,NA,NA,NA,NA
"R_2Eox7duQaBg84MV","Default Response Set","Anonymous","","","74.212.213.5","0",2015-12-04 13:42:16,2015-12-04 13:42:30,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","33.868194580078","-117.92929840088","-1",NA,NA,NA,NA,NA
"R_reFux2rSx4Gkqlj","Default Response Set","Anonymous","","","67.186.46.56","0",2015-12-04 12:26:34,2015-12-04 12:26:56,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
