"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q37","Q39","Q22","Q27","Q24_1","Q24_2","Q24_3","Q24_4","h_n","F_n","Q35","Q27.0","Q28","Q29","Q30","Q31","Q32","Q73","Q51","tired","hungry","thirsty","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q28_1","Q29_1","Q35.0","Q38","DO_BL_simulation","DO_BL_food_size","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_size"
"R_2qFdJRcN6LMSqQd","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:09:25,2016-11-04 12:26:13,1,"1",1,1,1,1.298,1.298,66.532,1,"","If i was very full, I would probably not be MOVING that much, I would feel regret, seeing as how it was probably some choice of mine that LED to me being full. there would be pain in my abdomen.",1,2,2,1,3,4,3,1,4,4,5,7,1,1,22,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q28|Q30|Q31|Q29|Q27","41.780395507812","-87.602699279785","-1",2,1.66666666666667
"R_2P89bzn8M5N3S9e","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:26:57,2016-11-04 12:32:33,1,"2",1,1,1,10.228,10.228,69.888,1,"","being ready to eat lunch 
and seeing the baby chicks. I also what to be able to see everything while we are here and my most favorit part was babies",1,4,2,4,3,3,4,1,8,7,9,9,1,2,36,1,NA,NA,NA,1,NA,NA,6,6,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q29|Q32|Q30|Q28|Q27","41.780395507812","-87.602699279785","-1",2,3.33333333333333
"R_1LdiZm7Cl3xehzj","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:33:20,2016-11-04 12:44:09,1,"3",1,1,1,8.829,8.829,64.237,1,"I feel a gnawing in my stomach. My mouth is watering. I am impatient.  Keep thinking about food.  Thinking about starting to feel weak.  Now I am starting to feel thirsty.  Feel like I need to take a deep breath.  Concentration is lacking.","",1,1,1,1,3,3,3,1,6,6,4,6,1,2,36,1,NA,NA,NA,1,NA,NA,1,16,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q30|Q29|Q28|Q32|Q27","41.780395507812","-87.602699279785","-1",1,1
"R_2V3f5bCMBpUyg1c","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:45:09,2016-11-04 12:49:46,1,"4",1,1,1,17.08,48.976,75.165,6,"Desperate for sustenance. Body would feel tired / exhausted. Will be thinking non-stop about food and eating!","",1,4,2,4,4,1,1,1,5,4,4,7,1,1,35,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q31|Q30|Q27|Q28|Q29","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_1QgAOoo0tEOdFZi","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:50:39,2016-11-04 12:57:25,1,"5",1,1,1,11.506,11.506,62.977,1,"","my tummy feels full, no desire to eat or drink, heaviness warm and moving more slowly. want to go out for a walk",1,1,2,1,4,3,3,1,8,8,2,4,1,2,35,2,NA,NA,NA,1,NA,NA,0,4,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q28|Q30|Q32|Q27|Q31","41.780395507812","-87.602699279785","-1",2,1.33333333333333
"R_3G3d0DKMRfE7Sdx","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 12:58:07,2016-11-04 13:05:15,1,"6",1,1,1,9.489,9.489,67.185,1,"Angry, weak, needing money but I can't work because I am so weak.  I would be irritable, crying possibly based on how long I have gone without food.","",1,1,1,1,1,1,1,1,6,7,5,5,1,2,24,1,NA,NA,NA,1,NA,NA,3,16,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q27|Q29|Q30|Q28|Q32","41.780395507812","-87.602699279785","-1",1,1
"R_114jReVIIQhMEGk","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 13:06:02,2016-11-04 13:17:13,1,"7",1,1,1,14.807,205.224,206.154,2,"","My stomach is hurting.  I habe syocach acid going up  my esophogus and causing burning.  my pants are tight around the waist and Im feeling very tired. And Im going to lay down
",1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q31|Q29|Q28|Q27|Q30","41.780395507812","-87.602699279785","-1",2,1
"R_2v0Q7Vcm7xS4UOc","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 13:20:28,2016-11-04 13:31:08,1,"8",1,1,1,7.265,148.38,158.843,2,"","My stomach is so full. My pants are tight! I just want to unbutton them. I can hear my food digesting. I do not want to walk or talk. i just want to take a nap and let my food digest. i never want to see food again!",1,1,1,2,3,4,4,1,6,5,2,5,1,2,36,1,NA,NA,NA,1,NA,1,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q29|Q31|Q30|Q32|Q28","41.780395507812","-87.602699279785","-1",2,1.33333333333333
"R_2X4msHjCE2pLwJ5","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 13:32:22,2016-11-04 13:47:12,1,"9",1,1,1,1.854,5.582,170.518,2,"If I was hungry.. I would probably be distracted and not fully able to concentrate. I would likely be short tempered (hangry) and not my normal self. Depending on the severity, I would probably be in physical discomfort as well.","",1,1,1,2,3,3,3,1,4,5,7,5,1,1,27,1,NA,NA,NA,1,NA,NA,6,6,1,1,"Q22|Q27|Q24|h_n","Q35|Q28|Q27|Q30|Q32|Q29|Q31","41.780395507812","-87.602699279785","-1",1,1.33333333333333
"R_3EuxkXIg1dcA4yq","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 13:56:15,2016-11-04 14:01:49,1,"10",1,1,1,14.423,87.422,136.718,3,"","If I were very full right now I imagine that I would rather siting front of the tv or a video game and not do much. I seem to be tired when very full. Like when you want to take a nap after Thanksgiving dinner. Content is also how I would describe being vry full. You do not seem to see very many angry full people.",1,1,3,1,1,1,1,1,5,6,2,2,1,1,35,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q27|Q30|Q29|Q28|Q32","41.780395507812","-87.602699279785","-1",2,1.66666666666667
