"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q13","Q86","Q84_1","Q84_2","Q84_3","Q84_4","hungry","Q43","Q83_1","Q83_2","Q83_3","Q83_4","full","Q47","Q48_1","Q48_2","Q48_3","Q48_4","Q49","Q44","Q45_1","Q45_2","Q45_3","Q45_4","Q46","Q57","food1","food2","food3","food4","food5","fill1","fill2","fill3","fill4","fill5","Q239","Q240","Q241","Q242","Q243","Q244","Q245","Q246","Q247","Q248","Q249","Q73","thirsty","hungry.0","tired","Q51","Q42","Q35","Q41","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q35.0","DO_BR_FL_35","DO_BR_FL_41","DO_BR_FL_39","DO_BL_choices_now","DO_BL_Choices_general","LocationLatitude","LocationLongitude","LocationAccuracy","condition","nowgeneral","choice_now","choice_general","choice","filter_$"
"R_dnZ79UsPsFF7eKZ","Default Response Set","Anonymous","","","173.78.234.176","0",2015-12-10 13:18:57,2015-12-10 13:19:13,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","27.983505249023","-81.75479888916","-1",NA,NA,NA,NA,NA,NA
"R_33lOE3rF8Xc0LfO","Default Response Set","Anonymous","","","98.203.216.193","0",2015-12-10 13:19:37,2015-12-10 13:19:44,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","47.835403442383","-122.32789611816","-1",NA,NA,NA,NA,NA,NA
"R_ZdBGVK9Az8StTtT","Default Response Set","Anonymous","","","104.176.160.254","0",2015-12-10 13:23:00,2015-12-10 13:23:31,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","33.956207275391","-83.987998962402","-1",NA,NA,NA,NA,NA,NA
"R_2S13LfvPr33H8ui","Default Response Set","Anonymous","","","108.249.225.21","0",2015-12-10 13:23:22,2015-12-10 13:23:51,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","31.783203125","-106.49759674072","-1",NA,NA,NA,NA,NA,NA
"R_2rTMr5xBeIjvrRY","Default Response Set","Anonymous","","","70.199.71.234","0",2015-12-10 13:34:55,2015-12-10 13:35:00,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","40.680892944336","-73.980499267578","-1",NA,NA,NA,NA,NA,NA
"R_2TLelVIhOmHCdJP","Default Response Set","Anonymous","","","67.61.232.229","0",2015-12-10 13:36:11,2015-12-10 13:36:18,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","33.568206787109","-104.42250061035","-1",NA,NA,NA,NA,NA,NA
"R_PYvx8oRctnPSDjX","Default Response Set","Anonymous","","","63.152.80.209","0",2015-12-10 13:42:19,2015-12-10 13:42:26,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","42.024505615234","-91.662002563477","-1",NA,NA,NA,NA,NA,NA
"R_3MojbATnelXxiGu","Default Response Set","Anonymous","","","63.152.80.209","8",2015-12-10 13:42:38,2015-12-10 13:42:53,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","42.024505615234","-91.662002563477","-1",NA,NA,NA,NA,NA,NA
"R_ddpeTFxTZsZRtD3","Default Response Set","Anonymous","","","172.58.200.72","0",2015-12-10 13:44:32,2015-12-10 13:44:43,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","38","-97","-1",NA,NA,NA,NA,NA,NA
"R_ujKInJB5vcwXZ61","Default Response Set","Anonymous","","","75.243.112.141","0",2015-12-10 13:47:56,2015-12-10 13:48:22,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","37.708892822266","-77.543701171875","-1",NA,NA,NA,NA,NA,NA
"R_2QDu17TdMtCI78O","Default Response Set","Anonymous","","","97.34.193.0","0",2015-12-10 13:51:19,2015-12-10 13:51:30,1,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","38.921295166016","-77.038597106934","-1",NA,NA,NA,NA,NA,NA
