"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q41","hungry","full","Q55","Q57","Q59","Q61","Q63","Q65","Q67","Q69","Q71","Q73","Q75","Q77","Q79","Q81","Q83","Q85","Q87","Q89","Q91","Q93","Q95","Q97","Q2","Q3","Q4","Q6","Q50","DO_BR_FL_41","DO_BL_prediction","DO_BL_now","DO_BL_general","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_now","choice_general"
"R_1pMvOn1yGmzztKt","Default Response Set","Anonymous","","","128.135.98.53","0",2017-09-05 12:16:43,2017-09-05 12:18:29,1,"838447",1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,99,2,1,"","","Q55|Q69|Q73|Q63|Q61|Q59|Q75|Q67|Q57|Q71|Q65","Q77|Q87|Q97|Q91|Q79|Q85|Q93|Q81|Q95|Q83|Q89","41.780395507812","-87.602699279785","-1",NA,NA,NA
"R_2D2evQTNgdu5GJJ","Default Response Set","Anonymous","","","205.154.229.184","0",2017-09-05 12:26:25,2017-09-05 12:28:12,1,"794567",1,1,NA,1,1,9,9,8,9,6,9,8,9,9,8,1,9,9,9,9,7,9,9,9,9,9,1,2,39,2,1,"now|general","Q41|full","Q55|Q61|Q75|Q69|Q73|Q67|Q71|Q59|Q65|Q57|Q63","Q77|Q83|Q91|Q85|Q93|Q79|Q97|Q87|Q95|Q89|Q81","34.039001464844","-117.75479888916","-1",2,8.2,8.6
"R_1ovbihGgcrMW2co","Default Response Set","Anonymous","","","72.220.195.220","0",2017-09-05 12:27:04,2017-09-05 12:28:28,1,"859287",1,1,1,NA,1,9,9,9,9,9,9,5,5,5,5,1,9,9,9,9,9,9,5,5,5,5,1,1,35,1,1,"general|now","Q41|hungry","Q55|Q75|Q63|Q65|Q57|Q73|Q61|Q69|Q59|Q67|Q71","Q77|Q81|Q85|Q95|Q83|Q97|Q79|Q91|Q93|Q89|Q87","32.716995239258","-116.99499511719","-1",1,9,9
"R_2VOqElkGHx6dpZu","Default Response Set","Anonymous","","","24.192.179.83","0",2017-09-05 12:26:52,2017-09-05 12:28:35,1,"826794",1,1,NA,1,1,6,5,6,6,6,4,5,5,5,7,1,7,6,6,7,6,4,5,5,5,5,1,2,37,1,1,"now|general","Q41|full","Q55|Q73|Q75|Q59|Q61|Q63|Q71|Q69|Q65|Q67|Q57","Q77|Q81|Q95|Q83|Q91|Q97|Q93|Q85|Q87|Q79|Q89","42.554595947266","-82.917098999023","-1",2,5.8,6.4
"R_9N5Hb5mxJHxBFTj","Default Response Set","Anonymous","","","107.77.195.201","0",2017-09-05 12:26:31,2017-09-05 12:28:38,1,"975408",1,1,1,NA,1,9,9,9,9,9,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,7,1,1,31,1,1,"now|general","Q41|hungry","Q55|Q61|Q73|Q59|Q67|Q57|Q75|Q65|Q69|Q71|Q63","Q77|Q87|Q85|Q81|Q95|Q91|Q79|Q89|Q97|Q93|Q83","42.265396118164","-83.208000183105","-1",1,9,5
"R_1n8aCwZjdUCs2cY","Default Response Set","Anonymous","","","173.220.184.130","0",2017-09-05 12:26:57,2017-09-05 12:28:48,1,"786436",1,1,1,NA,1,7,7,7,7,7,3,3,7,7,8,1,6,6,6,7,6,4,5,6,5,8,1,1,43,1,1,"now|general","Q41|hungry","Q55|Q73|Q69|Q63|Q71|Q61|Q57|Q67|Q59|Q65|Q75","Q77|Q79|Q93|Q89|Q83|Q91|Q81|Q85|Q95|Q97|Q87","40.873306274414","-74.165901184082","-1",1,7,6.2
"R_3CNSlzuhuH7KuZY","Default Response Set","Anonymous","","","208.104.22.170","0",2017-09-05 12:26:01,2017-09-05 12:28:51,1,"913389",1,1,1,NA,1,8,8,2,9,8,8,3,3,7,8,1,8,4,2,9,3,9,3,3,8,8,1,2,26,1,1,"general|now","Q41|hungry","Q55|Q61|Q57|Q67|Q75|Q65|Q69|Q63|Q59|Q71|Q73","Q77|Q89|Q91|Q87|Q83|Q85|Q97|Q81|Q93|Q95|Q79","34.760101318359","-80.693000793457","-1",1,7,5.2
"R_33qYJhZ1oggMCqJ","Default Response Set","Anonymous","","","73.129.35.210","0",2017-09-05 12:26:20,2017-09-05 12:28:51,1,"843033",1,1,1,NA,1,1,9,9,9,9,5,5,5,9,9,1,2,9,9,5,8,5,5,5,7,7,1,1,62,1,1,"general|now","Q41|hungry","Q55|Q61|Q73|Q57|Q71|Q67|Q63|Q65|Q75|Q69|Q59","Q77|Q81|Q83|Q85|Q93|Q79|Q91|Q97|Q95|Q89|Q87","39.456207275391","-77.963897705078","-1",1,7.4,6.6
"R_qDXqoHucrthxHix","Default Response Set","Anonymous","","","167.102.56.138","0",2017-09-05 12:27:15,2017-09-05 12:28:54,1,"798969",1,1,1,NA,1,9,9,9,9,9,4,4,5,5,1,1,8,8,8,9,8,3,2,5,5,2,1,2,22,1,1,"general|now","Q41|hungry","Q55|Q73|Q59|Q57|Q75|Q63|Q69|Q67|Q71|Q61|Q65","Q77|Q83|Q97|Q87|Q95|Q91|Q85|Q79|Q81|Q89|Q93","39.617202758789","-75.867797851562","-1",1,9,8.2
"R_1OxxrFEPWH3d19c","Default Response Set","Anonymous","","","173.94.78.34","0",2017-09-05 12:26:52,2017-09-05 12:28:56,1,"985055",1,1,NA,1,1,1,1,2,2,3,4,2,5,3,5,1,3,3,7,3,3,5,3,5,5,6,1,1,26,1,1,"general|now","Q41|full","Q55|Q65|Q71|Q61|Q73|Q57|Q59|Q69|Q67|Q63|Q75","Q77|Q81|Q89|Q91|Q97|Q95|Q83|Q87|Q85|Q79|Q93","35.893997192383","-80.561401367188","-1",2,1.8,3.8
"R_ZvEhhcVP8YPV0Nb","Default Response Set","Anonymous","","","216.125.160.51","0",2017-09-05 12:27:22,2017-09-05 12:28:57,1,"910909",1,1,NA,1,1,1,2,2,2,1,4,5,4,3,5,1,6,5,5,6,4,8,3,3,6,5,1,1,30,1,1,"now|general","Q41|full","Q55|Q61|Q63|Q75|Q67|Q59|Q73|Q65|Q57|Q69|Q71","Q77|Q79|Q93|Q83|Q95|Q97|Q85|Q81|Q87|Q91|Q89","42.018203735352","-88.217300415039","-1",2,1.6,5.2
"R_3iQJg6UyWnsoGIO","Default Response Set","Anonymous","","","69.207.137.7","0",2017-09-05 12:26:49,2017-09-05 12:29:02,1,"960067",1,1,NA,1,1,1,1,1,1,1,5,1,1,1,1,1,1,6,1,3,1,4,1,3,4,4,1,2,28,1,1,"now|general","Q41|full","Q55|Q57|Q65|Q67|Q61|Q69|Q59|Q63|Q75|Q71|Q73","Q77|Q89|Q81|Q97|Q85|Q91|Q79|Q87|Q93|Q83|Q95","43.214401245117","-77.712501525879","-1",2,1,2.4
"R_3kMRubhtSrHedWr","Default Response Set","Anonymous","","","173.26.139.49","0",2017-09-05 12:27:22,2017-09-05 12:29:21,1,"979718",1,1,1,NA,1,6,6,6,5,6,4,6,4,5,6,1,7,6,6,6,6,4,6,4,6,6,1,2,62,1,1,"general|now","Q41|hungry","Q55|Q67|Q57|Q69|Q73|Q65|Q75|Q63|Q59|Q71|Q61","Q77|Q83|Q79|Q89|Q93|Q81|Q87|Q85|Q91|Q95|Q97","37.170196533203","-93.329696655273","-1",1,5.8,6.2
"R_pQ1QqyiwJVwfObT","Default Response Set","Anonymous","","","198.1.37.182","0",2017-09-05 12:26:48,2017-09-05 12:29:20,1,"838029",1,1,NA,1,1,3,2,3,2,3,4,3,4,3,8,1,3,2,3,2,3,4,4,3,3,8,1,1,54,1,1,"general|now","Q41|full","Q55|Q69|Q63|Q57|Q61|Q65|Q75|Q67|Q73|Q71|Q59","Q77|Q89|Q93|Q91|Q83|Q95|Q87|Q81|Q97|Q85|Q79","47.668899536133","-117.43690490723","-1",2,2.6,2.6
"R_1NyRetJmpeJGMq5","Default Response Set","Anonymous","","","70.188.197.246","0",2017-09-05 12:26:04,2017-09-05 12:29:35,1,"821907",1,1,NA,1,1,6,6,6,7,6,4,3,5,6,6,1,6,6,5,6,7,4,3,5,7,5,1,2,41,1,1,"general|now","Q41|full","Q55|Q75|Q71|Q67|Q65|Q63|Q61|Q69|Q57|Q73|Q59","Q77|Q87|Q85|Q79|Q95|Q97|Q89|Q83|Q91|Q81|Q93","33.613494873047","-112.2333984375","-1",2,6.2,6
"R_1hyuQjKbikAxJR1","Default Response Set","Anonymous","","","24.216.114.235","0",2017-09-05 12:27:08,2017-09-05 12:29:37,1,"844239",1,1,1,NA,1,4,7,3,6,3,6,5,3,4,7,1,3,8,4,8,3,5,3,3,3,4,1,1,35,1,1,"general|now","Q41|hungry","Q55|Q75|Q67|Q63|Q59|Q69|Q61|Q57|Q73|Q65|Q71","Q77|Q85|Q81|Q89|Q95|Q91|Q83|Q79|Q97|Q87|Q93","38.503204345703","-89.149696350098","-1",1,4.6,5.2
"R_WDJbO5f5oErv0l3","Default Response Set","Anonymous","","","68.96.180.214","0",2017-09-05 12:26:51,2017-09-05 12:29:38,1,"959618",1,1,1,NA,1,9,9,9,9,9,1,9,1,1,9,1,9,9,9,9,9,1,9,1,1,9,1,1,27,1,1,"now|general","Q41|hungry","Q55|Q57|Q61|Q63|Q69|Q71|Q73|Q65|Q75|Q59|Q67","Q77|Q89|Q97|Q95|Q87|Q91|Q83|Q81|Q79|Q85|Q93","36.178802490234","-115.04959869385","-1",1,9,9
"R_9pdTo78Qh7vaAbn","Default Response Set","Anonymous","","","72.80.129.179","0",2017-09-05 12:27:05,2017-09-05 12:29:42,1,"806198",1,1,NA,1,1,7,2,6,3,7,8,4,5,4,7,1,6,3,7,4,8,8,4,5,3,6,1,1,44,1,1,"now|general","Q41|full","Q55|Q73|Q61|Q71|Q59|Q67|Q63|Q65|Q75|Q69|Q57","Q77|Q95|Q97|Q85|Q91|Q81|Q93|Q89|Q83|Q87|Q79","40.787292480469","-73.811302185059","-1",2,5,5.6
